Order_id,Item_id,Product_id,Quantity,List_price,Discount,discount1,dis_amount,Total_price,Product_name
1,1,20,1,600,20%,0.2,120,480,Electra Townie Original 7D EQ - Women's - 2016
1,2,8,2,1800,7%,0.07,252,3348,Trek Remedy 29 Carbon Frameset - 2016
1,3,10,2,1549,5%,0.05,154.9,2943.1,Surly Straggler - 2016
1,4,16,2,600,5%,0.05,60,1140,Electra Townie Original 7D EQ - 2016
1,5,4,1,2900,20%,0.2,580,2320,Trek Fuel EX 8 29 - 2016
2,1,20,1,600,7%,0.07,42,558,Electra Townie Original 7D EQ - Women's - 2016
2,2,16,2,600,5%,0.05,60,1140,Electra Townie Original 7D EQ - 2016
3,1,3,1,1000,5%,0.05,50,950,Surly Wednesday Frameset - 2016
3,2,20,1,600,5%,0.05,30,570,Electra Townie Original 7D EQ - Women's - 2016
4,1,2,2,750,10%,0.1,150,1350,Ritchey Timberwolf Frameset - 2016
5,1,10,2,1549,5%,0.05,154.9,2943.1,Surly Straggler - 2016
5,2,17,1,429,7%,0.07,30.03,398.97,Pure Cycles Vine 8-Speed - 2016
5,3,26,1,600,7%,0.07,42,558,Electra Townie Original 7D EQ - 2016
6,1,18,1,449,7%,0.07,31.43,417.57,Pure Cycles Western 3-Speed - Women's - 2015/2016
6,2,12,2,550,5%,0.05,55,1045,Electra Townie Original 21D - 2016
6,3,20,1,600,10%,0.1,60,540,Electra Townie Original 7D EQ - Women's - 2016
6,4,3,2,1000,7%,0.07,140,1860,Surly Wednesday Frameset - 2016
6,5,9,2,3000,7%,0.07,420,5580,Trek Conduit+ - 2016
7,1,15,1,530,7%,0.07,37.1,492.9,Electra Moto 1 - 2016
7,2,3,1,1000,10%,0.1,100,900,Surly Wednesday Frameset - 2016
7,3,17,2,429,10%,0.1,85.8,772.2,Pure Cycles Vine 8-Speed - 2016
8,1,22,1,270,5%,0.05,13.5,256.5,Electra Girl's Hawaii 1 (16-inch) - 2015/2016
8,2,20,2,600,7%,0.07,84,1116,Electra Townie Original 7D EQ - Women's - 2016
9,1,7,2,4000,10%,0.1,800,7200,Trek Slash 8 27.5 - 2016
10,1,14,1,270,10%,0.1,27,243,Electra Girl's Hawaii 1 (16-inch) - 2015/2016
11,1,8,1,1800,5%,0.05,90,1710,Trek Remedy 29 Carbon Frameset - 2016
11,2,22,2,270,10%,0.1,54,486,Electra Girl's Hawaii 1 (16-inch) - 2015/2016
11,3,16,2,600,20%,0.2,240,960,Electra Townie Original 7D EQ - 2016
12,1,4,2,2900,10%,0.1,580,5220,Trek Fuel EX 8 29 - 2016
12,2,11,1,1681,5%,0.05,84.05,1596.95,Surly Straggler 650b - 2016
13,1,13,1,270,10%,0.1,27,243,Electra Cruiser 1 (24-Inch) - 2016
13,2,17,2,429,5%,0.05,42.9,815.1,Pure Cycles Vine 8-Speed - 2016
13,3,20,2,600,10%,0.1,120,1080,Electra Townie Original 7D EQ - Women's - 2016
13,4,16,2,600,5%,0.05,60,1140,Electra Townie Original 7D EQ - 2016
14,1,6,1,470,7%,0.07,32.9,437.1,Surly Ice Cream Truck Frameset - 2016
15,1,12,2,550,7%,0.07,77,1023,Electra Townie Original 21D - 2016
15,2,8,1,1800,7%,0.07,126,1674,Trek Remedy 29 Carbon Frameset - 2016
15,3,18,2,449,5%,0.05,44.9,853.1,Pure Cycles Western 3-Speed - Women's - 2015/2016
15,4,23,2,300,20%,0.2,120,480,Electra Girl's Hawaii 1 (20-inch) - 2015/2016
16,1,8,1,1800,20%,0.2,360,1440,Trek Remedy 29 Carbon Frameset - 2016
16,2,21,1,270,5%,0.05,13.5,256.5,Electra Cruiser 1 (24-Inch) - 2016
16,3,13,2,270,7%,0.07,37.8,502.2,Electra Cruiser 1 (24-Inch) - 2016
16,4,14,1,270,7%,0.07,18.9,251.1,Electra Girl's Hawaii 1 (16-inch) - 2015/2016
17,1,8,1,1800,7%,0.07,126,1674,Trek Remedy 29 Carbon Frameset - 2016
17,2,23,1,300,10%,0.1,30,270,Electra Girl's Hawaii 1 (20-inch) - 2015/2016
17,3,5,1,1321,10%,0.1,132.1,1188.9,Heller Shagamaw Frame - 2016
17,4,20,2,600,20%,0.2,240,960,Electra Townie Original 7D EQ - Women's - 2016
18,1,2,2,750,20%,0.2,300,1200,Ritchey Timberwolf Frameset - 2016
18,2,22,1,270,5%,0.05,13.5,256.5,Electra Girl's Hawaii 1 (16-inch) - 2015/2016
18,3,7,1,4000,10%,0.1,400,3600,Trek Slash 8 27.5 - 2016
18,4,25,2,500,5%,0.05,50,950,Electra Townie Original 7D - 2015/2016
18,5,9,2,3000,10%,0.1,600,5400,Trek Conduit+ - 2016
19,1,10,1,1549,7%,0.07,108.43,1440.57,Surly Straggler - 2016
19,2,9,2,3000,20%,0.2,1200,4800,Trek Conduit+ - 2016
20,1,9,1,3000,7%,0.07,210,2790,Trek Conduit+ - 2016
20,2,10,2,1549,7%,0.07,216.86,2881.14,Surly Straggler - 2016
21,1,14,1,270,5%,0.05,13.5,256.5,Electra Girl's Hawaii 1 (16-inch) - 2015/2016
21,2,17,1,429,10%,0.1,42.9,386.1,Pure Cycles Vine 8-Speed - 2016
21,3,10,1,1549,7%,0.07,108.43,1440.57,Surly Straggler - 2016
22,1,15,2,530,20%,0.2,212,848,Electra Moto 1 - 2016
22,2,22,1,270,5%,0.05,13.5,256.5,Electra Girl's Hawaii 1 (16-inch) - 2015/2016
23,1,4,2,2900,5%,0.05,290,5510,Trek Fuel EX 8 29 - 2016
23,2,23,2,300,10%,0.1,60,540,Electra Girl's Hawaii 1 (20-inch) - 2015/2016
23,3,13,1,270,20%,0.2,54,216,Electra Cruiser 1 (24-Inch) - 2016
24,1,3,2,1000,10%,0.1,200,1800,Surly Wednesday Frameset - 2016
24,2,18,2,449,7%,0.07,62.86,835.14,Pure Cycles Western 3-Speed - Women's - 2015/2016
25,1,23,2,300,20%,0.2,120,480,Electra Girl's Hawaii 1 (20-inch) - 2015/2016
25,2,10,2,1549,20%,0.2,619.6,2478.4,Surly Straggler - 2016
25,3,22,1,270,20%,0.2,54,216,Electra Girl's Hawaii 1 (16-inch) - 2015/2016
25,4,14,1,270,20%,0.2,54,216,Electra Girl's Hawaii 1 (16-inch) - 2015/2016
25,5,21,1,270,10%,0.1,27,243,Electra Cruiser 1 (24-Inch) - 2016
26,1,7,1,4000,5%,0.05,200,3800,Trek Slash 8 27.5 - 2016
26,2,2,1,750,20%,0.2,150,600,Ritchey Timberwolf Frameset - 2016
26,3,12,1,550,20%,0.2,110,440,Electra Townie Original 21D - 2016
26,4,21,2,270,7%,0.07,37.8,502.2,Electra Cruiser 1 (24-Inch) - 2016
27,1,5,1,1321,20%,0.2,264.2,1056.8,Heller Shagamaw Frame - 2016
27,2,19,1,449,20%,0.2,89.8,359.2,Pure Cycles William 3-Speed - 2016
27,3,26,2,600,7%,0.07,84,1116,Electra Townie Original 7D EQ - 2016
27,4,8,1,1800,7%,0.07,126,1674,Trek Remedy 29 Carbon Frameset - 2016
28,1,5,1,1321,5%,0.05,66.05,1254.95,Heller Shagamaw Frame - 2016
28,2,7,2,4000,20%,0.2,1600,6400,Trek Slash 8 27.5 - 2016
28,3,14,2,270,10%,0.1,54,486,Electra Girl's Hawaii 1 (16-inch) - 2015/2016
28,4,6,1,470,5%,0.05,23.5,446.5,Surly Ice Cream Truck Frameset - 2016
29,1,24,2,550,5%,0.05,55,1045,Electra Townie Original 21D - 2016
29,2,6,1,470,20%,0.2,94,376,Surly Ice Cream Truck Frameset - 2016
29,3,21,2,270,10%,0.1,54,486,Electra Cruiser 1 (24-Inch) - 2016
29,4,8,1,1800,20%,0.2,360,1440,Trek Remedy 29 Carbon Frameset - 2016
